-0.2318	2.6592	0	0	-0.2318	2.6592	0	2.75	0	1
-4.82313	5.15294	-10.8851	0.163362	-0.190587	3.08482	-0.0282	3.1487	-0.1253	0.9921
-0.225932	4.07734	12.2898	-1.80792	-0.028	3.8194	-0.1062	3.5408	-0.2487	0.9686
1.20333	7.09279	4.19569	9.12858	-0.237225	3.962	-0.2327	3.92	-0.3681	0.9298
0.0698043	5.13828	-4.67379	-3.79477	-0.588	4.53	-0.4058	4.2803	-0.4818	0.8763
-7.62481	1.06704	-16.7595	-17.748	-0.81647	4.34597	-0.6226	4.6162	-0.5878	0.809
-2.33156	3.83639	18.4555	8.51852	-0.9091	4.8993	-0.8798	4.9222	-0.6845	0.729
-1.30372	8.12073	0.4577	9.31706	-1.13096	5.48328	-1.1734	5.1935	-0.7705	0.6374
-1.11882	5.98228	-2.37636	-4.15494	-1.4853	5.3243	-1.4986	5.4259	-0.8443	0.5358
-9.95078	2.01573	-19.8532	-17.6495	-1.96756	5.69954	-1.8504	5.6157	-0.9048	0.4258
-3.75964	4.7415	18.9341	7.63802	-2.2706	5.729	-2.2232	5.76	-0.9511	0.309
-2.32456	9.02459	2.01541	9.85054	-2.84987	6.37302	-2.6111	5.8563	-0.9823	0.1874
-2.33075	6.71876	-3.705	-4.9114	-2.8272	5.9179	-3.0081	5.9033	-0.998	0.0628
-12.5851	-1.20074	-20.6755	-28.7976	-3.23769	5.5474	-3.4078	5.9002	-0.998	-0.0628
-5.30592	4.56898	19.0138	12.4777	-3.8504	5.9564	-3.804	5.847	-0.9823	-0.1874
-4.27346	9.08942	1.35797	10.7976	-4.2671	5.7962	-4.1904	5.7445	-0.9511	-0.309
-3.92921	6.67323	-3.54966	-6.09559	-4.3654	5.6888	-4.5609	5.5945	-0.9048	-0.4258
-13.6031	-5.04987	-15.9258	-38.4916	-4.87816	5.38338	-4.9097	5.3991	-0.8443	-0.5358
-6.36678	3.40359	18.3715	16.6345	-5.0627	5.1433	-5.2312	5.1616	-0.7705	-0.6374
-6.31676	8.47583	-1.19045	11.7538	-5.48219	4.63629	-5.5205	4.8857	-0.6846	-0.729
-5.42442	5.7837	-2.81296	-7.18635	-5.7158	4.6874	-5.7729	4.5757	-0.5878	-0.809
-12.6124	-9.70014	-6.86857	-46.2919	-6.01157	4.22125	-5.9844	4.2365	-0.4818	-0.8763
-7.25595	1.51901	14.7961	21.9659	-6.3037	3.6652	-6.1517	3.8735	-0.3681	-0.9298
-19.4504	15.62	-34.6246	43.3968	-5.824	3.57708	-6.2723	3.4924	-0.2487	-0.9686
-7.08575	6.88164	7.21651	-24.4531	-6.3431	3.1288	-6.3441	3.0991	-0.1253	-0.9921
2.9826	-7.31044	46.1926	-23.363	-6.57748	2.80726	-6.3661	2.7	0	-1
-4.56574	-0.318314	-16.757	29.7689	-6.4692	2.1972	-6.3378	2.3013	0.1253	-0.9921
-31.037	-1.30099	-69.8811	-5.00646	-6.0619	1.73717	-6.2599	1.9092	0.2487	-0.9686
-10.0341	4.21592	30.0011	-14.091	-6.1812	1.6177	-6.1333	1.53	0.3681	-0.9298
5.33339	4.2195	28.1621	8.94113	-5.987	1.36708	-5.9603	1.1697	0.4817	-0.8763
-2.53087	1.53327	-32.428	-16.2149	-5.9491	0.8528	-5.7435	0.8338	0.5878	-0.809
-9.03321	-27.9284	-6.58878	-74.9329	-5.91747	0.260493	-5.4863	0.5278	0.6845	-0.729
-8.73256	-3.38835	20.9248	33.614	-5.2298	-0.0147	-5.1927	0.2565	0.7705	-0.6374
-1.56113	12.2971	17.8237	36.2219	-4.87551	-0.0531806	-4.8675	0.0241	0.8443	-0.5358
-2.9295	3.98211	-19.0075	-27.2663	-4.7833	-0.0853	-4.5157	-0.1657	0.9048	-0.4258
-27.4316	9.14062	-69.6847	13.2315	-4.33942	-0.432294	-4.1429	-0.31	0.951	-0.309
-7.8962	-1.95648	31.2841	0.591245	-3.7857	-0.5135	-3.7549	-0.4063	0.9823	-0.1874
5.99842	-15.7107	44.7468	-40.6015	-3.38483	-0.424952	-3.358	-0.4533	0.998	-0.0628
0.841998	-3.13866	-17.9836	23.6066	-3.0594	-0.5963	-2.9582	-0.4502	0.998	0.0628
7.92605	19.5776	24.6459	54.1615	-2.54882	-0.510816	-2.562	-0.397	0.9823	0.1874
-2.44529	3.7072	-11.9548	-36.5804	-2.352	-0.2753	-2.1757	-0.2945	0.9511	0.309
-28.6132	-0.914226	-73.1029	-15.1201	-1.5143	-0.0968849	-1.8052	-0.1445	0.9048	0.4258
-4.84758	-3.29464	31.4612	16.0362	-1.2592	0.0718	-1.4564	0.0509	0.8443	0.5358
-7.55516	13.9768	-21.4739	40.6981	-0.610648	0.187888	-1.1348	0.2884	0.7705	0.6374
-1.60605	2.31263	10.1955	-19.9655	-0.6333	0.5224	-0.8456	0.5643	0.6846	0.7289
13.0734	-1.1326	38.0151	-6.34249	-0.473609	0.73824	-0.5932	0.8743	0.5878	0.809
2.5965	-0.435922	-28.2387	6.41258	-0.2709	1.1769	-0.3817	1.2135	0.4818	0.8763
-12.2062	-9.21101	-36.4151	-24.3264	-0.280205	1.67756	-0.2143	1.5765	0.3682	0.9298
-3.85603	1.05345	24.829	15.361	-0.2084	1.7527	-0.0938	1.9576	0.2487	0.9686
-2.38733	6.17706	-0.216997	9.76081	-0.166722	2.62601	-0.022	2.3509	0.1254	0.9921
0.222254	3.30518	3.90834	-4.84543	0.1785	2.7674	0	2.75	0	1
1.66348	3.76182	5.39258	3.00261	-0.0151031	2.95926	0.0157	3.1494	0.0941	0.9956
0.710338	3.55808	-3.94095	-0.0371687	0.1316	3.3236	0.0813	3.5437	0.2182	0.9759
